?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/COLAO_0000150>	"The insect sclerite that is distal to the abdominal sternite IX."@en	
<http://purl.obolibrary.org/obo/AISM_0004073>	"The proximal apodemes of the aedeagus."@en	
<http://purl.obolibrary.org/obo/AISM_0004118>	"Is the abdominal tergite of the postabdomen that is attached to the posterior margin of the abdominal tergite IX by the abdominal tergite IX-abdominal tergite X conjunctiva and to the anterior margin of the epiproct and paraproct."@en	
<http://purl.obolibrary.org/obo/AISM_0002021>	"The cranio-mandibular muscle that is attached to the suspensorium and the insect mandible."@en	
<http://purl.obolibrary.org/obo/AISM_0000061>	"The sclerite on the ventral region of the prothorax that bears the profurca and is attached to the propleuro-prosternal conjunctiva."@en	
<http://purl.obolibrary.org/obo/AISM_0004145>	"The sclerite of the notum that is attached to the posterior margin of the prescutum and to the anterior margin of the scutellum."@en	
<http://purl.obolibrary.org/obo/AISM_0000114>	"The conjunctiva of the antenna that connects the scapus and the pedicellus."@en	
<http://purl.obolibrary.org/obo/AISM_0002066>	"The insect thoracic muscle that is not fan-shaped and runs along the dorsal region, parallel to the anterior-posterior axis."@en	
<http://purl.obolibrary.org/obo/AISM_0000532>	"The cuticular evagination constituted by conjunctiva that is circular."@en	
<http://purl.obolibrary.org/obo/AISM_0004193>	"The conjunctiva that encircles the metapretarsus by joining the distal margin of the distalmost metatarsomere and the proximal margin of the metapretarsus."@en	
<http://purl.obolibrary.org/obo/PATO_0001571>	"A size quality inhering in a bearer by virtue of the bearer's being made wider or larger in all dimensions."	
<http://purl.obolibrary.org/obo/AISM_0004072>	"The seta that is elongated."@en	
<http://purl.obolibrary.org/obo/COLAO_0000004>		
<http://purl.obolibrary.org/obo/BSPO_0000010>		
<http://purl.obolibrary.org/obo/AISM_0004181>	"The conjunctiva that encircles the metatibia by joining the distal margin of the metafemur and the proximal margin of the metatibia."@en	
<http://purl.obolibrary.org/obo/AISM_0000113>	"The cuticle of the segment of the antenna that is connected to the head capsule and the antennifer by the basal antennal conjunctiva and to the pedicellus by the scapal-pedicellar conjunctiva."@en	
<http://purl.obolibrary.org/obo/AISM_0002017>	"The cranio-mandibular muscle that extends between the gena and the lateral margin of the insect mandible."@en	
<http://purl.obolibrary.org/obo/AISM_0004020>	"The region of cuticle of the head capsule that is located posterior to the clypeus and delimited by the frontal suture."@en	
<http://purl.obolibrary.org/obo/PATO_0002021>	"A convex 3-D shape quality inhering in a bearer by virtue of the bearer's resembling a cone (a 3-D shape with a round cross section that tapers)."	"Image:http://upload.wikimedia.org/wikipedia/commons/d/d2/Cone_3d.png"
<http://purl.obolibrary.org/obo/AISM_0000080>	"The somatic muscle that is attached to the head capsule."@en	
<http://purl.obolibrary.org/obo/BSPO_0000000>	"The side of an organism that is left of the sagittal plane."	
<http://purl.obolibrary.org/obo/AISM_0004028>	"The region of the cuticle of the head capsule that coincides with an ecdysial line."@en	
<http://purl.obolibrary.org/obo/AISM_0002039>	"The cuticle of the maxillary palpomere that is attached to the distal margin of the maxillary palpomere II and to the proximal margin of the maxillary palpomere IV."@en	
<http://purl.obolibrary.org/obo/AISM_0004300>	"The insect body segment that corresponds to the mesothorax and is posterior to the insect prothoracic segment."@en	
<http://purl.obolibrary.org/obo/COLAO_0000052>	"The cuticular groove of the head capsule that runs parallel to the left-right axis, adjacent to the vertex and the occiput"@en	
<http://purl.obolibrary.org/obo/COLAO_0000108>	"The anterior region of the subcostal vein of the insect wing."@en	
<http://purl.obolibrary.org/obo/AISM_0004180>	"The conjunctiva that encircles the mesotibia by joining the distal margin of the mesofemur and the proximal margin of the mesotibia."@en	
<http://purl.obolibrary.org/obo/AISM_0000108>	"The region of cuticle that is connected to some muscles of the fore and hind legs and is posterior to the neck membrane and aterior to the first abdominal spiracle."	
<http://purl.obolibrary.org/obo/COLAO_0000117>	"The posterior branch of the beetle wing vein that is part of the radial posterior (RP) vein of the beetle wing."@en	
<http://purl.obolibrary.org/obo/AISM_0000088>	"The elastic cuticle of the head capsule that is transparent and covers the eye."@en	
<http://purl.obolibrary.org/obo/AISM_0004239>	"The region of cuticle on the posterodorsal region of the head capsule that is posterior to the occipital ridge and anterior to the postoccipital ridge."@en	
<http://purl.obolibrary.org/obo/AISM_0004304>	"The region of cuticle that is attached to arthropod sensillum."@en	
<http://purl.obolibrary.org/obo/PATO_0001031>	"A physical quality inhering in a bearer by virtue of the bearer's disposition to recover its size and shape after deformation in any way."	
<http://purl.obolibrary.org/obo/COLAO_0000032>	"The region of cuticle that is anterior to the compound eye"@en	
<http://purl.obolibrary.org/obo/AISM_0000173>	"The conjunctiva that encircles the coxa and connects them to the ventral and lateral thoracic regions."	
<http://purl.obolibrary.org/obo/AISM_0002024>	"The cranio-mandibular muscle that is attached to the anterior tentorial arm and the insect mandible."@en	
<http://purl.obolibrary.org/obo/BSPO_0000035>	"Anatomical region that overlaps the posterior and ventral regions of a body or body part."	
<http://purl.obolibrary.org/obo/AISM_0004251>	"The insect wing vein in the jugal field, posterior to the jugal fold or to the anal veins."@en	
<http://purl.obolibrary.org/obo/UBERON_0001555>	"A tube extending from the mouth to the anus."	"BILA:0000083 FBbt:00003125 AAO:0010023 FMA:45615 EHDAA2:0000726 EMAPA:16247 galen:AlimentaryTract TAO:0000112 BTO:0000545 TGMA:0001819 VHOG:0000309 WBbt:0005743 ZFA:0000112 BTO:0000511 EHDAA:518 UMLS:C0017189 http://linkedlifedata.com/resource/umls/id/C0017189 MA:0000917 NCIT:C34082"
<http://purl.obolibrary.org/obo/COLAO_0000238>	"The endophallite that is located in the distal region of the endophallus."@en	
<http://purl.obolibrary.org/obo/AISM_0004280>	"The thoracic foramen that is at the posterior margin of the cuticle of the mesothorax."@en	
<http://purl.obolibrary.org/obo/COLAO_0000003>	"The lateral region of the pronotum that is deflexed and laterally limited by the lateral pronotal carina."@en	
<http://purl.obolibrary.org/obo/UBERON_0000165>	"The proximal portion of the digestive tract, containing the oral cavity and bounded by the oral opening. In vertebrates, this extends to the pharynx and includes gums, lips, tongue and parts of the palate. Typically also includes the teeth, except where these occur elsewhere (e.g. pharyngeal jaws) or protrude from the mouth (tusks)."	"SCTID:21082005 CALOHA:TS-1315 galen:Mouth BTO:0001090 ZFA:0000547 MESH:D009055 MAT:0000038 FMA:49184 Wikipedia:Mouth MA:0002474 EFO:0000825 BTO:0004698 http://purl.obolibrary.org/obo/uberon/images/lamprey_sucker_rosava_3238889218.jpg http://purl.obolibrary.org/obo/uberon/images/lamprey_sucker_rosava_3238889218.jpg TAO:0000547 EHDAA:542 AAO:0010355 VHOG:0000280 ZFA:0000590 http://en.wikipedia.org/wiki/Mouth EHDAA2:0001326 MIAA:0000038 TGMA:0000131 http://www.snomedbrowser.com/Codes/Details/21082005 TAO:0000590 GAID:75 FBbt:00003126 EMAPA:16262 VHOG:0000812 TADS:0000040 MA:0000341 XAO:0003029"
<http://purl.obolibrary.org/obo/AISM_0004086>	"The conjunctiva of the insect abdomen that connects the abdominal tergite I and the abdominal tergite II."@en	
<http://purl.obolibrary.org/obo/PATO_0000402>	"A branchiness quality inhering in a bearer by virtue of the bearer's having branches."	
<http://purl.obolibrary.org/obo/BSPO_0000683>	"Anatomical margin that is located on the medial side of the body or body part."	
<http://purl.obolibrary.org/obo/PATO_0000915>	"A 1-D extent quality which is equal to the dimension through an object as opposed to its length or width."	
<http://purl.obolibrary.org/obo/AISM_0000050>	"The cuticle of the paired appendage of the labium, and part of the ligula, that is attached to the cuticle of prementum by the premental-paraglossal conjunctiva."@en	
<http://purl.obolibrary.org/obo/COLAO_0000215>	"The elytral interstria that is lateral to the elytral stria 7."@en	
<http://purl.obolibrary.org/obo/COLAO_0000211>	"The elytral interstria that is lateral to the elytral stria 5."@en	
<http://purl.obolibrary.org/obo/AISM_0000076>	"The cuticle of the segment of a leg attached to the distal margin of the trochanter by the trochantero-femoral conjunctiva and to the proximal margin of the tibia by the femoro-tibial conjunctiva."@en	
<http://purl.obolibrary.org/obo/AISM_0004176>	"The conjunctiva that encircles the mesofemur by joining the distal margin of the mesotrochanter and the proximal margin of the mesofemur."@en	
<http://purl.obolibrary.org/obo/AISM_0000531>	"The cuticular evagination constituted by conjunctiva that is elongated."@en	
<http://purl.obolibrary.org/obo/AISM_0002072>	"The dorsal longitudinal thoracic muscle that is attached to the pronotum and the postocciput."@en	
<http://purl.obolibrary.org/obo/AISM_0004205>	"The tergo-trochantinal muscle that is attached to the pronotum and the protrochantin."@en	
<http://purl.obolibrary.org/obo/COLAO_0000219>	"The elytral interstria that is lateral to the elytral stria 9."@en	
<http://purl.obolibrary.org/obo/COLAO_0000104>	"The insect wing vein composed of the radial anterior branch 1+2 (RA1+2) of the beetle wing and the subcosta posterior (ScP) of the beetle wing."@en	
<http://purl.obolibrary.org/obo/PATO_0000964>	"A optical quality inhering in a bearer by virtue of the bearer's lacking opacity."	
<http://purl.obolibrary.org/obo/PATO_0001748>	"A shape quality in which a portion of the outermost boundary of an entity folds in space such that a portion that was originally convex is now concave."	
<http://purl.obolibrary.org/obo/AISM_0000125>	"The conjunctiva of the hind leg joining the distal margin of a metacoxa and the proximal margin of a metatrochanter."@en	
<http://purl.obolibrary.org/obo/AISM_0004125>	"The region of the cuticle of the insect thorax that is anteriorly connected to the head by the neck membrane, posteriorly connected to the mesothorax by the prothorax-mesothorax conjunctiva, and contains the pronotum, the propeluron, the prosternum and one pair of legs."@en	
<http://purl.obolibrary.org/obo/AISM_0004263>	"The conjunctiva that is part of the head capsule and is continuous with the epipharynx and the hypopharynx."@en	
<http://purl.obolibrary.org/obo/COLAO_0000079>	"The distal region of the cuticle of the galea that is adjacent to the distal margin of the basigalea."@en	
<http://purl.obolibrary.org/obo/COLAO_0000056>	"The region of the cuticle on the postero-lateral region of the torma."@en	
<http://purl.obolibrary.org/obo/PATO_0001355>	"A shape quality that obtains by virtue of the bearer having inward facing edges; having a surface or boundary that curves or bulges outward, as the exterior of a sphere."	
<http://purl.obolibrary.org/obo/COLAO_0000065>	"The apodeme that is adjacent to the proximo-dorsal region of the cuticle of the cardo."@en	
<http://purl.obolibrary.org/obo/AISM_0004014>	"The conjunctiva of the labium that connects the prementum and the palpiger."@en	
<http://purl.obolibrary.org/obo/COLAO_0000114>	"The insect wing vein thet is anterior to the posterior branch of the beetle wing vein."@en	
<http://purl.obolibrary.org/obo/AISM_0004043>	"The region of the head capsule that is continuous with the postgena and adjacent to the foramen occipitale."@en	
<http://purl.obolibrary.org/obo/UBERON_0005157>	"An epithelial sheet bent on a linear axis."	
<http://purl.obolibrary.org/obo/AISM_0000005>	"The region of the cuticle that corresponds to a concave surface."@en	
<http://purl.obolibrary.org/obo/AISM_0004305>		"http://purl.obolibrary.org/obo/HAO_0001098"
<http://purl.obolibrary.org/obo/AISM_0002004>	"The cranio-antennal muscle that extends between the dorsal or anterior tentorial arm and the proximo-lateral margin of the scapus."@en	
<http://purl.obolibrary.org/obo/PATO_0001154>	"A quality inhering in a bearer by virtue of the bearer's length being notably higher than its width."	
<http://purl.obolibrary.org/obo/AISM_0004301>	"The paired sclerite of the postabdomen, attached to either the abdominal tergite VIII or IX."@en	
<http://purl.obolibrary.org/obo/AISM_0004115>	"The conjunctiva of the insect abdomen that connects the abdominal sternite VI and the abdominal sternite VII."@en	
<http://purl.obolibrary.org/obo/AISM_0004134>	"The sclerite of the insect thorax that is part of the pleuron and posterior to the pleural ridge and attached to the posterior margin of the episternum."@en	
<http://purl.obolibrary.org/obo/COLAO_0000037>	"The spur on the distal margin of the tibia."@en	
<http://purl.obolibrary.org/obo/COLAO_0000091>	"The elytral puncture that is relatively large, square, and transparent."@en	
<http://purl.obolibrary.org/obo/AISM_0000096>	"The conjunctiva of the prothorax that joins the prosternum and the procoxa."@en	
<http://purl.obolibrary.org/obo/COLAO_0000088>	"The cuticular internal depression that is medial to the gular sulci."@en	
<http://purl.obolibrary.org/obo/AISM_0004019>	"The region of the head capsule that is anterior to the frons and is attached to the labrum by the clypeo-labral conjunctiva"@en	
<http://purl.obolibrary.org/obo/AISM_0004276>	"The arthropod foramen that is part of the cuticle of the insect thorax."@en	
<http://purl.obolibrary.org/obo/AISM_0000105>	"The conjunctiva of the insect head that is connected to the oral foraminal conjunctiva and to the distal margin of the labrum."@en	
<http://purl.obolibrary.org/obo/PR_Q9V7U0>	"A protein that is a translation product of the resilin gene in fruit fly."	"UniProtKB:Q9V7U0"
<http://purl.obolibrary.org/obo/COLAO_0000125>	"The cross-vein thet is adjacent to the medial bar and to the medial posterior branch 3+4 of the beetle wing."@en	
<http://purl.obolibrary.org/obo/PATO_0001873>	"A convex 3-D shape quality inhering in a bearer by virtue of the bearer's exhibiting a consistently-sized round cross section."	
<http://purl.obolibrary.org/obo/COLAO_0000046>	"The cuticular sulcus that is the lateral region of the frontoclypeal sulcus."@en	
<http://purl.obolibrary.org/obo/COLAO_0000102>	"The insect wing vein that is anterior to the central field of the beetle wing, distal to the radial bar of the beetle wing, and proximal to the apical field of the beetle wing."@en	
<http://purl.obolibrary.org/obo/AISM_0000077>	"The cuticle of the segment of the leg that is attached to the latero-ventral region of the insect thorax by the basal coxal conjunctiva and to the trochanter by the coxal-trochanteral conjunctiva."@en	
<http://purl.obolibrary.org/obo/AISM_0002062>	"The insect cranio-antennal muscle that is attached to the tentorial bridge and the frons."@en	
<http://purl.obolibrary.org/obo/AISM_0002085>	"The somatic muscle that is part of the insect abdomen."@en	
<http://purl.obolibrary.org/obo/COLAO_0000148>	"The bilaterally paired cuticular protrusion of the abdominal tergite IX."@en	
<http://purl.obolibrary.org/obo/BFO_0000009>		
<http://purl.obolibrary.org/obo/AISM_0000131>	"The seta that has multiple cuticular pores (openings of class III exocrine glands)."@en	
<http://purl.obolibrary.org/obo/AISM_0000033>	"The cuticle of the flat, paired appendage on the dorso-lateral region of the pterothorax."@en	
<http://purl.obolibrary.org/obo/AISM_0004201>	"The conjunctiva of the postabdomen that joins the phallobase and the parameres."@en	
<http://purl.obolibrary.org/obo/AISM_0000501>	"The protrusion on a sclerite that is elongated."	
<http://purl.obolibrary.org/obo/PATO_0001857>	"A shape quality in a bearer by virtue of the bearer's curving inward."	
<http://purl.obolibrary.org/obo/COLAO_0000070>	"The sclerite on the lateral margin the cuticle of the lacinia."@en	
<http://purl.obolibrary.org/obo/COLAO_0000045>	"The ventral region of the eye cuticle."@en	
<http://purl.obolibrary.org/obo/AISM_0004262>	"The sulcus that coincides with the frontoclypeal ridge and separates the frons from the clypeus."@en	
<http://purl.obolibrary.org/obo/AISM_0004044>	"The ridge of the head capsule that encircles the antennal foramen."@en	
<http://purl.obolibrary.org/obo/AISM_0002059>	"The cranio-hypopharyngeal muscle that is attached to the frons and  the suspensorium."@en	
<http://purl.obolibrary.org/obo/AISM_0000086>	"The somatic muscle that inserts in the coxa."@en	
<http://purl.obolibrary.org/obo/AISM_0004236>	"The ectodermal gland that is composed of one cell"@en	
<http://purl.obolibrary.org/obo/AISM_0004137>	"The part of the sternum that is attached to the posterior margin of the presternum and to the anterior margin of the furcasternum."@en	
<http://purl.obolibrary.org/obo/AISM_0000023>	"The cuticle of the appendage of the insect maxilla that is attached to the stipes by the stipito-galeal conjunctiva."@en	
<http://purl.obolibrary.org/obo/AISM_0004108>	"The abdominal sternite of the preabdomen that is attached to the posterior margin of the abdominal sternite V by the abdominal sternite V-abdominal sternite VI conjunctiva and to the anterior margin of the abdominal sternite VII by the abdominal sternite VI-abdominal sternite VII conjunctiva."@en	
<http://purl.obolibrary.org/obo/COLAO_0000021>	"The anepisternum on the anterior region of the mesopleuron and lateral to the mesoventrite."@en	
<http://purl.obolibrary.org/obo/AISM_0004258>	"The proximal region of the insect wing."@en	
<http://purl.obolibrary.org/obo/AISM_0000143>	"The furca of the prothorax that is attached to the procoxa via muscle."@en	
<http://purl.obolibrary.org/obo/AISM_0004102>	"The conjunctiva between the insect thorax and the insect abdomen that connects the posterior margin of the metasterum to the anterior margin of the abdominal sternite I."@en	
<http://purl.obolibrary.org/obo/UBERON_0034925>	"A collection of anatomical structures that are alike in terms of their morphology or developmental origin."	
<http://purl.obolibrary.org/obo/COLAO_0000143>	"The cuticular sensilla that is adjacent to the cuticle of an antennomere."@en	
<http://purl.obolibrary.org/obo/AISM_0000074>	"The cuticle of the mere that is part of the tarsus."@en	
<http://purl.obolibrary.org/obo/AISM_0000094>	"The conjunctiva of the insect thorax that joins the mesopleuron and the metapleuron."@en	
<http://purl.obolibrary.org/obo/AISM_0000142>	"The furca of the metathorax that is attached to the metacoxa via muscle."@en	
<http://purl.obolibrary.org/obo/BSPO_0000073>	"Anatomical region located on the apical end on the body or body part. [ BSPO : wd ]"@en	
<http://purl.obolibrary.org/obo/AISM_0004273>	"The region of cuticle on the medial region of the cuticle of stipes, adjacent to the distal margin of the cuticle of the basistipes, and to the proximal margin of the cuticle of the galea and the lacinia."@en	
<http://purl.obolibrary.org/obo/AISM_0004306>		
<http://purl.obolibrary.org/obo/AISM_0002073>	"The dorsal longitudinal thoracic muscle that is attached to the prophragma and the cervical sclerite."@en	
<http://purl.obolibrary.org/obo/AISM_0000169>	"The notum or sclerite on the dorsal region of the metathorax that is posterior to the mesonotum, connected via the metanoto-metapleural conjuntiva to the dorsal margin of the metapleuron, that is not adjacent to the metacoxa, but attached to it by the metacoxal muscle."@en	
<http://purl.obolibrary.org/obo/COLAO_0000113>	"The insect wing vein of the costal field that is anterior to the costal vein of the insect wing."@en	
<http://purl.obolibrary.org/obo/AISM_0004048>	"The ridge that runs along the posterior region of the head capsule."@en	
<http://purl.obolibrary.org/obo/AISM_0004189>	"The cuticle of the segment of the mid leg that is composed of mesotarsomeres connected to each other by intertarsomeral conjunctiva. The first mesotarsomere is connected to the distal margin of the mesotibia by the mesotibio-mesotarsal conjunctiva and the last mesotarsomere is connected to the proximal margin of the mesopretarsus by the mesotarso-mesopretarsal conjunctiva."@en	
<http://purl.obolibrary.org/obo/AISM_0004281>	"The thoracic foramen that is at the posterior margin of the cuticle of the metathorax."@en	
<http://purl.obolibrary.org/obo/AISM_0004174>	"The conjunctiva that encircles the femur by joining the distal margin of the trochanter and the proximal margin of the femur."@en	
<http://purl.obolibrary.org/obo/AISM_0004074>	"The region of the cuticle thar is proximally attached to the gonopore."@en	
<http://purl.obolibrary.org/obo/AISM_0004143>	"The sclerite of the notum that is attached to the posterior margin of the scutellum."@en	
<http://purl.obolibrary.org/obo/COLAO_0000041>	"The phallobase that is fused to the parameres."@en	
<http://purl.obolibrary.org/obo/AISM_0000156>	"The cuticular depression that is circular."@en	
<http://purl.obolibrary.org/obo/AISM_0002041>	"The cuticle of the maxillary palpomere that is attached to the distal margin of the maxillary palpomere IV."@en	
<http://purl.obolibrary.org/obo/AISM_0000039>	"The unicellular cuticular evagination that constitutes a sclerite with its base surrounded by socket membrane."@en	
<http://purl.obolibrary.org/obo/AISM_0000138>	"The cuticular invagination that is hollow."@en	
<http://purl.obolibrary.org/obo/AISM_0002038>	"The cuticle of the maxillary palpomere that is attached to the distal margin of the maxillary palpomere I and to the proximal margin of the maxillary palpomere III."@en	
<http://purl.obolibrary.org/obo/AISM_0004170>	"The conjunctiva of the leg joining the distal margin of a coxa and the proximal margin of a femur."@en	
<http://purl.obolibrary.org/obo/AISM_0004222>	"The conjunctiva of the insect thorax that joins the notum and the pleuron."@en	
<http://purl.obolibrary.org/obo/COLAO_0000050>	"The insect articulation of the head capsule at the postero-medial region of the postgena"@en	
<http://purl.obolibrary.org/obo/COLAO_0000010>	"The scutellum of the mesothorax."@en	
<http://purl.obolibrary.org/obo/BSPO_0000682>	"Anatomical margin that is located on the lateral side of the body or body part."	
<http://purl.obolibrary.org/obo/AISM_0004061>	"The paired sclerite of the insect abdomen that is attached to the lateral margin of the abdominal tergite X by the abdominal tergite X-paraproct conjunctiva."@en	
<http://purl.obolibrary.org/obo/AISM_0002080>	"The dorsoventral thoracic muscle that extends between the tentorium and the prophragma."@en	
<http://purl.obolibrary.org/obo/COLAO_0000225>	"The anatomical margin that is formed by the posterior region of the posterolateral pronotal margin and by the lateral region of the posterior pronotal margin."@en	
<http://purl.obolibrary.org/obo/AISM_0004261>	"The cuticular protrusion that is part of the pretarsus, ventral to the tarsal claws and medial to the pulvilli (if present)."@en	
<http://purl.obolibrary.org/obo/PATO_0000411>	"A shape quality inhering in a bearer by virtue of the bearer's being such that every part of the surface or the circumference is equidistant from the center."	
<http://purl.obolibrary.org/obo/AISM_0004283>	"The insect region of integument that is continuous with conjunctiva and attached to somatic muscle."@en	"http://purl.obolibrary.org/obo/HAO_0000929 http://flybase.org/cgi-bin/fbcvq.html?query=FBbt:00000003"
<http://purl.obolibrary.org/obo/AISM_0002051>	"The cranio-labial muscle that is attached to the posterior tentorial arm and the prementum."@en	
<http://purl.obolibrary.org/obo/AISM_0004175>	"The conjunctiva that encircles the profemur by joining the distal margin of the protrochanter and the proximal margin of the profemur."@en	
<http://purl.obolibrary.org/obo/AISM_0004011>	"The conjunctiva of the insect maxilla that connects the stipes and the galea."@en	
<http://purl.obolibrary.org/obo/AISM_0002076>	"The phragma of the mesonotum that attaches to muscles attached to the pronotum."@en	
<http://purl.obolibrary.org/obo/COLAO_0000106>	"The insect wing fold that is proximal to the radial cross-vein r4 and anterior to the oblongum cell of the beetle wing."@en	
<http://purl.obolibrary.org/obo/AISM_0004129>	"The region of cuticle on the lateral region of the insect thorax that is attached to the notum and the sternum and is attached to the coxae by skeletal muscle tissue and the basal coxal conjunctiva."@en	
<http://purl.obolibrary.org/obo/AISM_0002084>	"The dorsoventral thoracic muscle that extends between the profurca and the mesonotum."@en	
<http://purl.obolibrary.org/obo/AISM_0000153>	"The somatic muscle that inserts in the protibia."@en	
<http://purl.obolibrary.org/obo/PATO_0000052>	"A morphological quality inhering in a bearer by virtue of the bearer's ratios of distances between its features (points, edges, surfaces and also holes etc)."	
<http://purl.obolibrary.org/obo/AISM_0004077>	"The region of cuticle of the postabdomen that is distal to the genital chamber."@en	
<http://purl.obolibrary.org/obo/AISM_0000069>	"The cuticle of the segment of a hind leg attached to the distal margin of the metafemur by the metafemoro-metatibial conjunctiva and to the proximal margin of the metatarsus by the metatibio-metatarsal conjunctiva."@en	
<http://purl.obolibrary.org/obo/BSPO_0000080>	"Anatomical region that overlaps the dorsal and lateral regions of a body or body part."	"FBql:00005845"
<http://purl.obolibrary.org/obo/COLAO_0000130>	"The anterior branch of the anal vein that is composed of the first and second anal anterior branches of the beetle wing."@en	
<http://purl.obolibrary.org/obo/AISM_0000062>	"The sclerite that is cylindrical and encircles and is encircled by conjunctiva."@en	
<http://purl.obolibrary.org/obo/AISM_0004032>	"The ridge of the head capsule that separates the gena and the subgena."@en	
<http://purl.obolibrary.org/obo/AISM_0004065>	"The region of cuticle of the postabdomen that is attached to the abdominal sternite IX by the abdominal sternite IX-phallobase conjunctiva and to the paramere by the phallobasal-parameral conjunctiva."@en	
<http://purl.obolibrary.org/obo/COLAO_0000043>	"The sclerite of the paraproct that is elongated."@en	
<http://purl.obolibrary.org/obo/AISM_0004192>	"The conjunctiva that encircles the mesopretarsus by joining the distal margin of the distalmost mesotarsomere and the proximal margin of the mesopretarsus."@en	
<http://purl.obolibrary.org/obo/AISM_0000525>	"The cuticular protrusion of a sclerite that is small."@en	
<http://purl.obolibrary.org/obo/AISM_0000157>	"The cuticular depression that does not correspond to an epithelial fold."@en	
<http://purl.obolibrary.org/obo/AISM_0004227>	"The insect thoracic muscle that extends between the metafurca and an abdominal sternite."@en	
<http://purl.obolibrary.org/obo/AISM_0004042>	"The posterior region of the head capsule that is continuous with the posterior region of the gena and is anterior to the postoccipital ridge."@en	
<http://purl.obolibrary.org/obo/AISM_0004206>	"The tergo-trochantinal muscle that is attached to the mesonotum and the mesotrochantin."@en	
<http://purl.obolibrary.org/obo/COLAO_0000040>	"The endophallite that is elongated."@en	
<http://purl.obolibrary.org/obo/AISM_0000158>	"The invagination on a sclerite that is elongated."	
<http://purl.obolibrary.org/obo/AISM_0000042>	"The cuticle of the mouthpart and appendage that is attached to the clypeus by the clypeo-labral conjunctiva and to the proximal margin of the epipharynx."@en	
<http://purl.obolibrary.org/obo/AISM_0004092>	"The conjunctiva of the insect abdomen that connects the abdominal tergite IV and the abdominal tergite V."@en	
<http://purl.obolibrary.org/obo/AISM_0004267>	"The cuticular sulcus that coincides with the postoccipital ridge and is posterior to the occiput and anterior to the postocciput"@en	
<http://purl.obolibrary.org/obo/AISM_0004268>	"The cuticular sulcus that coincides with the gular ridge, separating the gula fron the gena"@en	
<http://purl.obolibrary.org/obo/AISM_0004312>	"The region of the insect wing that is posterior to the radial field of the insect wing."@en	
<http://purl.obolibrary.org/obo/AISM_0000174>	"The insect region of integument that is part of the chitin-based cuticle."@en	
<http://purl.obolibrary.org/obo/AISM_0004187>	"The conjunctiva that encircles the pretarsus by joining the distal margin of the distalmost tarsomere and the proximal margin of the pretarsus."@en	
<http://purl.obolibrary.org/obo/COLAO_0000066>	"The cardo process of the medial region."@en	
<http://purl.obolibrary.org/obo/AISM_0004009>	"The conjunctiva of the insect maxilla that connects the stipes and the lacinia."@en	
<http://purl.obolibrary.org/obo/AISM_0004038>	"The apophysis of the tentorium that is connected to an anterior tentorial pit."@en	
<http://purl.obolibrary.org/obo/AISM_0000015>	"The articulation between the cardo and the cranium."@en	
<http://purl.obolibrary.org/obo/BSPO_0000027>	"Anatomical region that overlaps the anterior and ventral regions of a body or body part."	
<http://purl.obolibrary.org/obo/AISM_0000178>	"The solid cuticular protrusion that coincides with only one epidermal cell (smaller than the diameter of the epidermal cell)."@en	
<http://purl.obolibrary.org/obo/AISM_0000185>	"The hairlike seta that is short and thick walled."@en	
<http://purl.obolibrary.org/obo/AISM_0004219>	"The noto-pleural conjunctiva that joins the mesonotum and the mesopleuron."@en	
<http://purl.obolibrary.org/obo/COLAO_0000031>	"The sulcus of the metaventrite that is transverse (parallel to the left-right axis)."@en	
<http://purl.obolibrary.org/obo/AISM_0000141>	"The furca of the mesothorax that is attached to the mesocoxa via muscle."@en	
<http://purl.obolibrary.org/obo/AISM_0004120>	"The conjunctiva of the postabdomen that joins the abdominal tergite X and the epiproct."@en	
<http://purl.obolibrary.org/obo/AISM_0004285>	"The insect body segment that is part of the insect head."@en	"https://flybase.org/cgi-bin/cvreport.pl?cvterm=FBbt:00000006"
<http://purl.obolibrary.org/obo/AISM_0002035>	"The insect cranio-maxillar muscle that is attached to the stipes and the maxillary palpus."@en	
<http://purl.obolibrary.org/obo/AISM_0004050>	"The region of the cuticle comprising the anterior region of the clypeus."@en	
<http://purl.obolibrary.org/obo/CL_0000066>	"A cell that is usually found in a two-dimensional sheet with a free surface. The cell has a cytoskeleton that allows for tight cell to cell contact and for cell polarity where apical part is directed towards the lumen and the basal part to the basal lamina."	"FMA:66768 CALOHA:TS-2026 FBbt:00000124 CARO:0000077 WBbt:0003672 BTO:0000414"
<http://purl.obolibrary.org/obo/AISM_0004299>	"The insect body segment that corresponds to the mesothorax and is posterior to the insect prothoracic segment."@en	
<http://purl.obolibrary.org/obo/AISM_0000029>	"The evagination of the cuticle that is musculated (connected to the body via muscles)."	
<http://purl.obolibrary.org/obo/PATO_0000117>	"A morphology quality inhering in a bearer by virtue of the bearer's physical magnitude."	
<http://purl.obolibrary.org/obo/AISM_0004111>	"The conjunctiva of the insect abdomen that connects the abdominal sternite II and the abdominal sternite III."@en	
<http://purl.obolibrary.org/obo/AISM_0004122>	"The conjunctiva of the insect abdomen that connects the abdominal tergite IX and the abdominal tergite X."@en	
<http://purl.obolibrary.org/obo/AISM_0000066>	"The cuticle of the segment of the fore leg that is attached to the latero-ventral region of the prothorax by the basal procoxal conjunctiva and to the protrochanter by the procoxal-protrochanteral conjunctiva."@en	
